,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,RMSE
0,0.01290314684475277,2.3349219427504337,-0.22424811147823115,5.83265979175485,6.509873127285659,0.07710312797454814,0.7194620408717152,0.019524913322287785,0.60925552072325,1.4879907716416637e-08,0.0010548157232629987,0.8747477737631296,2.661148204062234e-09,0.410769853458057,0.999908872329226,8.916916782524117e-10,9.270306111214648e-11,0.012977096329835847,0.8566036609802195,0.912784872329008,3.4062757287539807e-16,0.01892760048497602
1,0.21664609018695197,1.2494957526217585,-0.27389503,-93.04505649789728,-98.17512666305808,0.08999999999999998,0.7196193710926249,0.8399395850675642,0.4273910574880663,0.40455141358199265,0.9199446711815229,0.9505665580658255,0.7653412539391761,0.0055705726055792874,0.17444906106337887,0.18965649308802499,0.9906166897170721,0.4236885801928514,0.668808163715387,0.4025914810970055,0.06585332814885148,0.2333064899904782
2,0.015167627153023933,0.6264949705463875,-0.16183398657297146,5.235600611699595,3.5311154995825254,0.07326305545908932,0.7033101731793225,0.17133189829371495,0.7110163783232503,1.2816468241077392e-06,0.9206745052703785,8.815136722540442e-15,2.717064354631508e-13,0.03154559108142595,0.45006655177061283,0.6294736691517577,8.091019687590071e-05,0.0003328566408999415,0.07811023263230954,0.6632567889790869,2.7306326070096014e-17,0.01421344051744583
3,0.012361912545217658,1.6498530781376857,0.7150103955210102,4.1080803563011505,6.816261927678148,0.07634171419179243,0.8696577349849995,0.9201750528895493,3.853966099714401e-09,0.42245013137109966,2.5247417572428826e-09,0.7108071328692936,0.006739739796086851,5.914241856563221e-10,0.0002749781896245196,2.195619110813711e-09,1.1051616679095816e-09,0.02075613622075466,2.106793005994559e-10,0.6389951679931543,0.0018364178908464107,0.016884252115619083
4,0.029906384738214956,1.6302958731654873,0.6341814174276655,4.42288578643621,-0.7651616716682366,0.08999999986376206,0.8449572768646615,0.8782242771128819,0.7558264475340728,3.199731850740974e-10,1.8766658193928074e-10,0.5418558743757861,0.9968202212115074,2.4879263079358527e-09,0.28142353325779906,0.6601931343557834,8.825778871806389e-11,0.6292358963449798,0.9722832967318165,0.863017772357082,0.8787167868847345,0.052596843900469994
5,0.006878991111434295,1.6365517888612384,0.4441293694831757,-1.568205346996965,-5.1153353881892425,0.08409358945299159,2.2840134206855256e-10,0.9128137645298191,0.6732639338270779,0.8410667355004462,1.0214579621689126e-07,0.021958532419410058,0.00024445595699341266,0.30539140875349347,0.17095751712496582,0.7139127934648672,2.077852672231901e-10,0.09979846480602635,0.4524451571874011,0.2666754983166265,1.8980546863668222e-07,0.031126623894852726
6,2.7845105100572474e-22,0.6264949700000001,2.1277528902075717,-6.836806718277828,-1.464636639993723,0.07828574938579023,0.04203586609899054,1.5837733959251457e-13,1.5223579079970299e-10,0.4860659194617511,0.003835082824652261,0.9089931494567386,0.002152891982044831,0.6553581806144423,0.8645496877613569,0.0185671801653541,3.133798229430655e-18,1.0905989309117046e-31,0.01849626748168255,0.012636859927215156,0.639829021062839,0.03198847950045188
7,0.10456605685654004,1.5202686203058962,0.36674145314265,-13.114997456124668,-5.826378348661918,0.08999999999999998,0.8385587852697876,0.8854971617047396,9.193465891702615e-18,0.9949999999999999,0.16489819275108666,0.3353612593979333,0.803170731689667,1.185947952296811e-16,0.07237639800355788,0.783592458688582,0.6009238688918003,0.8408286603437953,0.22298630028846778,0.7783967636138727,0.424518215017067,0.14009855070837754
8,0.01092393972326381,2.2256693733393402,-0.1513906335450792,-3.2147060262688765,-6.708139069084609,0.05509322549413246,0.31031544815751216,0.10209960184915945,0.451799892388945,0.39416724929668795,0.21502784513877216,1.1533047258683915e-16,6.685780239191383e-15,0.2508086244059878,0.2368385299769696,0.45407550218474657,0.245225139209467,0.000418783545615249,1.0269504662928837e-12,0.6217017489189283,0.9350092480426063,0.007755849284132689
9,0.02130694307209318,0.8043475070568948,0.020235559816028228,-2.8446264221982767,-0.4087199110673959,0.07495618176764951,0.6397000163687749,0.7904348552644966,0.5501666331083517,9.98140860910795e-09,8.55871902517541e-10,3.493586652854275e-08,0.9420300618053673,0.8771065354011304,0.0005271905046920211,0.6621164239051791,8.623198970315767e-10,0.6336009900015419,0.2874262074433538,0.7784676857937658,4.98765688702822e-08,0.032772755925709024
