,fit_index,sig_offset,dNu1 (GHz),dNu2 (GHz),A_U (GHz),B_U (GHz),A_L (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,RMSE
0,5.0,0.0122238153875766,1.6116151131902392,0.3329797795450246,-2.9263545010295653,-0.2849388331236726,-2.180540291994214,-0.4557890759735414,0.0359099491891828,0.7395358225466274,0.1705194959314612,0.270524559460328,0.3834606611452535,0.1542201868935891,0.5918132974040315,0.7733724029844236,0.4526083894806227,0.3092653820917913,2.6157450134884263e-14,0.0239508213395637,0.1082886434308998,0.4497426586593916,0.3810353244078758,0.3981471033206258,0.0059396080398307
1,9.0,0.0112761741872003,1.7498820153846144,0.22610497,-3.0991956477862264,-0.3182961525301446,-2.311914325195136,-0.8162839164590533,0.0551091874523504,2.438029799594772e-12,0.1902724476085355,0.1793192758528606,1.3440239001744107e-14,1.127305863413953e-19,0.3844317411283456,0.5961112751939206,0.5902914915897687,0.1069501709260619,0.3071543348735859,0.2275369065803312,5.750735918825331e-40,0.9314184646911734,0.399931840547475,0.2996339807082568,0.0076803545403301
2,20.0,0.0116932999871819,1.2092273556925357,0.2952264420885414,-3.1032255954938566,-1.9076340005456256,-2.2735170155532565,-1.9279262204105647,0.0518634576305508,0.1837428023106175,0.3710352414673991,0.1505900866961952,0.3500203523263978,0.2567536381585519,3.0927762738948564e-23,0.0097367317470177,0.6464429867831036,0.0294113632066799,0.603755085841013,5.657254890023598e-18,1.7069989510145877e-17,0.1004459543712996,0.878080953193146,0.758218382312452,0.0076370269729027
3,54.0,0.0112761741596126,1.7498820123398613,0.2261049700000203,-3.099195638643009,-0.3182961442857715,-2.3119143185410733,-0.8162839030537153,0.0551091874903627,2.2257854867091868e-14,0.1902724385840654,0.1793192729593029,1.334518273382799e-12,6.6583076759825615e-16,0.3844317530851565,0.5961112730657404,0.590291491506758,0.1069501692793577,0.307154335128222,0.2275369080415531,5.2323594670068e-39,0.9314184649970793,0.3999318485662652,0.2996339733330591,0.0076803545403295
4,66.0,0.01222382207061,1.6116149691743953,0.3329802776865421,-2.9263561266966382,-0.2849418157913299,-2.180541424892593,-0.4557909642414396,0.0359099154262819,0.7395342414372243,0.1705186202228584,0.2705250772899996,0.3834616662480571,0.1542195469019124,0.5918138111253295,0.7733728907495228,0.4526092823872981,0.3092662652249726,7.587923261380641e-15,0.0239504596334395,0.1082893898044306,0.4497427360500919,0.3810358895140973,0.3981472309144124,0.0059396080394199
5,85.0,0.0111389772908948,1.6188813931440265,0.4118257360184446,-3.278078220754737,-0.8437958897610764,-2.4282820226506536,-0.8358200567847321,0.0535854487832288,0.7261716793854793,0.0778559634935701,0.2276320292798249,0.4401192441988948,2.7915646657187662e-24,0.5625009210692175,0.7048348091012165,0.5705353737641751,0.197192532160779,4.019854667635306e-19,2.420457445412003e-15,0.0884639402505769,0.064698484818322,0.3191049627745628,0.2949273786565909,0.0077587166008251
6,90.0,0.0116932309848574,1.2092270637752516,0.2952250254947705,-3.1032191268562297,-1.9076240737703647,-2.2735124407590295,-1.9279161653855568,0.0518635417531835,0.18375102122681,0.3710334985842465,0.1505909918575818,0.3500177708847168,0.2567543068057904,3.0722292852357163e-17,0.0097317434582299,0.6464423270436488,0.02940990026543,0.6037550125421425,2.318319699912297e-15,7.786364398299363e-14,0.1004442313823388,0.8780803725147399,0.7582196521950108,0.00763702697605
7,166.0,0.0122238260156248,1.6116148819014948,0.3329804143974186,-2.926356451167143,-0.2849425495521187,-2.180541646878181,-0.4557913443095525,0.0359098991635365,0.739533792468417,0.1705186190849127,0.2705252823919386,0.3834619723557677,0.1542194217742479,0.5918140212478231,0.7733729894712645,0.4526094576191442,0.3092666606112608,3.924297366199077e-16,0.0239503278911679,0.1082895919935634,0.4497428232064351,0.3810359175478581,0.3981473560012687,0.0059396080393115
8,168.0,0.01168082587946,1.2128751769824186,0.2893955076319029,-3.0852082143822184,-1.868699959559743,-2.261121856694819,-1.8941240748170984,0.0518485704372652,0.0975887801011292,0.3707404392227368,0.151501373415767,0.3434764682658057,0.2591542058879856,2.94533276304654e-22,0.0856805690595226,0.6444056609612161,0.0707747967828609,0.605252940616077,3.766320230102003e-20,0.0995937321421558,6.754113260384817e-12,0.859837937925063,0.7509884609297156,0.0076335685478113
9,174.0,0.0116933352520255,1.2092289519996269,0.2952265629085121,-3.103229593480536,-1.9076366711903652,-2.2735199477831327,-1.927931246460024,0.0518632844353117,0.1837698422627985,0.3710371564959366,0.1505878994834889,0.350023371824305,0.2567540518719877,6.583531927154811e-40,0.0097204293549409,0.6464435198205918,0.0293969787401965,0.603755884330551,1.9424378130862025e-21,9.390482408648379e-17,0.1004469938370053,0.8780838618205449,0.7582204392111458,0.0076370269729095
10,188.0,0.0116934136623501,1.2092303124252703,0.2952276156245462,-3.1032369571664455,-1.9076454754802123,-2.27352523196345,-1.9279419312666413,0.0518630868260634,0.1837878579348671,0.3710397985185294,0.1505855415091935,0.3500275264714254,0.2567539962640626,9.150227558312716e-16,0.009709471941683,0.6464444012424734,0.0293854844222637,0.6037565535123509,2.244586571984898e-16,7.394754568799501e-14,0.1004490073702607,0.8780868098217961,0.7582213712122862,0.0076370269759381
