,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,RMSE
304,0.0135894254529588,1.1264949700000002,0.22610497,-2.8338600742199787,-2.346272346033411,0.08999999999999998,0.28801954014427744,0.4360013942253078,0.5656422323311292,3.489454188379407e-34,4.44619213953368e-24,0.7210321045142061,2.9268293494964234e-22,0.5098074732824329,4.3417945642148295e-22,0.7567426997880681,5.427048239025182e-25,1.1433815074701236e-16,1.4664405250338028e-17,3.944100227528263e-21,1.6602207306720806e-19,0.05976414074604543
305,0.08197557460794432,1.655668194942006,0.22610497,8.433410802368199,17.093897470130056,0.08999999999955269,0.6952520618743192,0.7368221627154776,9.920471156662745e-15,5.2251926003277596e-14,0.004999999999999893,1.220464247470939e-05,0.1094625741043185,0.7956408644123528,0.9529501793657562,6.208996072677901e-05,0.04247741784813259,0.6515124657374591,0.0767054571306569,0.0631526790653941,0.4710299541546669,0.12086132657055228
306,0.029903957719720722,1.630289729132546,0.6341595467024858,4.422822334011866,-0.7649667485230851,0.08999999999697235,0.8449722029933356,0.8782363719305647,0.7558386579434675,1.1516374825852235e-08,1.0407141245043628e-09,0.14608465935906867,0.995,4.168824023076755e-09,0.9806653256296549,0.6601744034190464,2.2494792706182557e-09,0.7578905673578434,0.43013239364435607,0.9195743001475151,0.7138673140810422,0.052596844268679145
307,0.016045588185341148,1.6589230587375667,0.7488064873859107,-2.2464576512312195,-1.9358347014610033,0.06993980021207181,0.8730614543519645,0.9301581803548579,1.9893141239367814e-38,0.2882021991485058,1.7613494795810302e-37,2.8813667078325328e-36,4.535153821774593e-38,0.17157345146138714,1.2502722596717216e-39,0.2829252088702893,5.006033802726852e-38,2.223387814632064e-31,5.657437275256702e-40,0.6695609280269599,0.4785415749155959,0.012838567678279253
308,0.01523384614619148,1.6598792733547698,0.7543529878162012,4.253458151788111,3.989914960742676,0.06989945887295425,0.8612335670759643,0.9298420060191248,0.1605332138924274,0.06198194822518678,0.5985718197691274,9.119279978456052e-32,1.8461043977493436e-35,1.2684438358178276e-31,0.4291121798832875,3.839484776770175e-36,0.6616031847811054,0.01890904131591357,0.9549127269079389,0.8978698104777186,0.8635746079639818,0.013035117425263875
309,0.015232458125407614,1.6598727170076042,0.7543101045467838,4.2541919026277295,3.990614696629257,0.0699017648881278,0.8613050119376587,0.9298460138146478,0.16069285739277223,0.061634619053850676,0.5985191987522884,4.731837767064945e-31,7.762672748112908e-35,7.5830355151283185e-31,0.4290875366286957,1.930692362876002e-37,0.6617449277546161,9.742155931815807e-05,0.687902525222409,0.40953097568535124,0.6980591052009563,0.013035117873124833
310,0.008883693879876779,1.6435944796938604,0.6905026401610959,3.848939694347944,3.8467652852294516,0.08178788361663285,0.8366368189795428,0.9163945304120334,0.23880978051982812,0.45424938095801,0.5916647411442327,7.89747328786861e-31,1.4696969689915253e-42,6.2085643953746206e-12,5.020351025859003e-16,1.8638331120912932e-28,0.4416305365366758,0.00022428572801933057,6.899822288482098e-05,0.0050000000000000044,0.011215280033265237,0.029693061851235488
311,0.01346242568135561,1.6537125582309529,0.7314499398139924,1.29936842934709,1.4840684251040006,0.07207675990939522,0.8637617011263399,0.9329094048987165,9.730364487252401e-33,0.4507457564485319,0.29647122164554307,3.778528277818594e-29,0.5261388470373238,1.4120493775408045e-32,0.5932138302348883,2.718621544365519e-32,1.350474859926688e-17,2.4893876386217944e-26,1.3719988187456458e-25,6.822855297411887e-10,0.00010981373124872813,0.018951681398982016
312,0.036346986211845754,2.1264949699999995,0.6542755636823112,0.7399291495088233,3.2911690713947888,0.08999999999999893,0.8343007787181952,5.20768845481232e-16,1.1284639899398536e-15,9.792621279308608e-15,7.0434865977135445e-15,0.8604328530516,3.2257479048492794e-16,0.6697270959257023,0.995,5.23315038466776e-16,1.7641075222087473e-15,0.9911655293710101,0.000959444872528387,5.222641073914484e-15,0.7202579096485796,0.05628105105112216
313,0.015003184829617449,1.6575346671964255,0.7384872073954007,-2.7764678774471814,-4.689122100597349,0.07240905214593858,0.8702433464504862,0.9242449248472118,0.045846183302505186,0.4986666901492136,0.2150773523653928,2.6589036247689087e-11,5.341018652653293e-12,0.45892471412387087,0.9999721570764082,0.6273117543047833,4.660201470479162e-06,0.7945363784925683,0.034592194633112035,4.5314700391773056e-08,1.019027279711649e-10,0.01369800315624605
314,0.015153187218098394,1.6572260136682937,0.7361503592561692,2.7705486041450316,2.944519835304647,0.07269852762438242,0.8711518737544028,0.923651551185336,0.031932238408187576,2.857212208428046e-11,0.40490593176609757,5.253002993444561e-34,0.07127999471335603,2.6418579281276388e-31,0.6993921093743583,9.040842662768817e-32,0.6293395712852758,5.974005431037026e-34,2.5818695219859173e-31,7.147195165233313e-35,1.0003407329386552e-34,0.013685114331226041
315,0.0819714560794769,1.655670650542649,0.22610497887407408,8.434894737666339,17.096723367248888,0.08999999999999998,0.6952939791203642,0.7368216405477572,1.1290735007732307e-19,3.819927686543641e-06,0.995,5.788158271915426e-10,0.09327914032273972,0.7956439575614891,0.9969463430162592,6.843795017026302e-08,0.00047698939975164025,0.06876847431129274,0.027841000947652104,4.308317455712164e-06,0.4710202921680031,0.12086132690307005
316,0.016555198382121897,1.659267765430767,0.7408877961683978,-0.5204992380267417,0.1297541296703297,0.07023194758697726,0.016999585219129826,0.9278614507427365,2.8572625861804454e-40,0.13756557412403067,2.9220421152509268e-43,0.3156269449879687,4.203207475211585e-35,0.23295654204889435,1.0076021213138794e-40,6.053370233458709e-43,6.593239052843316e-34,0.8536417371449634,0.6581679648380626,0.3497810916271936,0.18885130438345446,0.012802574193058485
317,0.00583007166647309,1.2940219225915586,0.22610497,-1.606254986469416,-1.5758111672600792,0.06720505597817018,0.09371798538196105,1.0712980801860385e-27,4.578228780192912e-11,0.44904822761218477,5.421907543937777e-20,0.8725928182020067,0.93610179747369,0.6808400717585907,0.05845131939570153,0.638303393371043,0.1282962077386176,0.010674359849963346,0.0007276179095563916,1.877276193647327e-17,5.373948967232737e-33,0.010360615584775317
