,Unnamed: 0,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
13,13,0.0007529452862729949,0.0014988579127041051,0.026148833790592674,0.06356673702873802,0.054000980968396416,0.0007211222260163247,0.002338389367657555,0.21217813676101052,0.031124101791491932,0.01623263021544379,0.027056020783631108,0.15164091372301036,0.006519009563538956,0.227218324031612,0.03229456276551939,0.02629461382972608,0.18476382486093668,0.011796482172668104,0.03832056235737572,0.03713883792223949,0.025444036248018158
14,14,0.0006509752945935219,0.004461337341302636,0.003732243158178681,0.024880811592101967,0.0188211064790449,0.0006520605618565594,0.010065662133869212,0.008594339377505226,0.004650660324817496,0.003134162781856672,0.006274737570253111,0.00936511930235226,0.07250871468403347,0.009436725431066492,0.002892814292272757,0.0016804404542158453,0.002837684218075892,0.013748606679466095,0.07505397197517233,0.0012427240665682294,0.001271538829855585
15,15,0.0003539660133020675,0.004461661434307952,0.004299476805058088,0.02588801843323214,0.023985533501311437,0.0005991903415333216,0.00817550355652373,0.02308360244930166,0.055992169603937936,0.00930881035577428,0.0074566810650947175,0.010426543029394218,0.004476278998277911,0.005441468173669847,0.008016034208542007,0.0140091326887373,0.009676598050924426,0.010028781923961677,0.05256555732071007,0.006281550138673415,0.005949134765589175
16,16,0.0005211310454503593,0.0623520375300871,0.01989890172828624,0.10672429816797244,0.1068040754275772,0.0010677464225646123,0.29051130555963794,0.02331736683802834,1.442165836671099,0.05609579749183632,0.0763910278400123,0.09931514350674853,0.07491118324140178,0.05688483132597424,1.4374783415583994,0.012519317224748798,0.06287490536861368,0.043315006748598416,0.0793680497834155,0.26513399029258994,0.0015850220674421813
39,39,0.0004725060845285958,0.003492053292461977,0.0010518428265354745,0.003111239493244525,0.0042964575361881755,0.0004212476182318602,0.0038181550190576037,0.002638091631707149,0.0045153937883276865,0.0027063930470674407,0.005159302738992197,0.0018230510807320948,0.0033932636758436585,0.004748035330443086,0.004673595854446758,0.002236619720779149,0.0032913150531954072,0.004409432057160395,0.0052145888966076024,0.0023746608068518104,0.0064399528485044035
78,78,0.0004615550393277294,0.00985387364886575,0.013944771131633778,0.06205074813421828,0.04203335197826129,0.0008204614646207183,0.04037299076704521,0.01569923118269259,0.015475298513422553,0.015266073290591762,0.012819630721371966,0.0020209130512643305,0.03147312792897185,0.01271346132174865,0.04927556141349698,0.06726395071785636,0.005708570302148627,0.022230567963286898,0.024205790186652927,0.02216939923442629,0.017755554879981608
86,86,0.0006509752346785376,0.004461338611704169,0.003732244392718311,0.02488081868650672,0.01882111011185928,0.0006520606843431266,0.010065662456538851,0.00859434094319142,0.004650660568674017,0.003134163800256195,0.006274739527488029,0.009365125443435887,0.07250875339549685,0.0094367323941388,0.0028928144775273216,0.0016804408693546172,0.0028376844665827365,0.013748615631248256,0.07505401404404141,0.0012427240781364435,0.001271538804385558
97,97,0.0004725060673718129,0.003492051817115624,0.00105184253827782,0.003111238540172,0.0042964558430807105,0.00042124734929440533,0.0038181535610739186,0.0026380912606596657,0.004515392250318627,0.002706392499643957,0.005159302290386778,0.0018230510228582823,0.003393262386686757,0.004748032891374265,0.004673594966468864,0.0022366194830000467,0.0032913146425592498,0.004409431302738236,0.0052145883603702285,0.002374660341999494,0.006439949010637828
109,109,0.0004615535456441008,0.009853696690638028,0.013943850954693348,0.062047134610999775,0.04203174702795495,0.0008204201053334275,0.04037270871932132,0.015698473434442306,0.01547485898053597,0.015265794917442952,0.012819052425986242,0.0020208885537470163,0.03147262837319231,0.012713322618771679,0.04927465905694935,0.06726318048102359,0.005708467858289659,0.02222952933511928,0.024205400440032047,0.022167693287503364,0.017755450477652972
111,111,0.00035396589252647875,0.00446267940113408,0.0042997389131821575,0.025891411133778814,0.023989971401996584,0.0005992661213037772,0.008174794205739624,0.023088565805578592,0.05602502097024892,0.00930942917768405,0.0074571906020351455,0.010427923795704706,0.004476348748942309,0.005442052954623277,0.008016105171324787,0.014012594518623463,0.009677759788606648,0.010031487415462195,0.052595782956131716,0.006281952471063516,0.005949611393136335
151,151,0.0006509750600427299,0.004461325542899397,0.003732223800856956,0.024880680486066682,0.01882100754476087,0.0006520584682803332,0.010065652526725406,0.00859430696815137,0.004650645565397632,0.003134158645574477,0.006274714992631143,0.009365081333090549,0.07250839311218457,0.009436690293124312,0.002892810717465413,0.0016804435627322926,0.002837682516396505,0.013748553477810866,0.07505363948936916,0.0012427227923918025,0.001271538713859517
156,156,0.0004615542139810922,0.00985384271775489,0.013944309561190785,0.06204887554590556,0.04203265461966894,0.0008204502002818767,0.04037324583740474,0.015698912618495684,0.015475250907505412,0.01526597601460946,0.012819410293844593,0.0020209050796759823,0.03147292051469376,0.01271345934850235,0.049275014199801286,0.06726415062717662,0.005708554915384224,0.02223007891240229,0.02420558985559041,0.02216866121017297,0.01775564126764553
158,158,0.0004615546551841834,0.009853845555854014,0.013944549019573187,0.06204987249088021,0.04203299552853087,0.0008204531733290183,0.040373008113972896,0.015699055266161485,0.015475225387585147,0.0152660154420477,0.012819505609491922,0.0020209080051954414,0.03147302128024765,0.012713440727598252,0.04927533391693889,0.06726389469302763,0.005708551452769017,0.02223032308682079,0.024205698686143147,0.022169000154760383,0.017755559685657445
169,169,0.000353965810288448,0.0044623718999675715,0.00429966981910962,0.025890167303419663,0.02398841420550411,0.0005992367886755936,0.00817485566000401,0.02308683950958644,0.056021365000046425,0.009309458864650856,0.007457201450084236,0.010427603507400093,0.004476384532064638,0.0054418973605372244,0.008016151003582201,0.014011641394502623,0.009677589722397177,0.010030613083207223,0.05259217233747263,0.006281737402423411,0.005949481098639842
173,173,0.0007830714535630777,0.010672583793859028,0.015966258894103743,0.10060018827934493,0.0943411786843356,0.0029265660703347122,0.8357963584258861,0.04035287736309195,0.025960250705124425,0.003679892968569614,0.0026567667335826092,0.0018001315046640683,0.01061512777390508,0.07287208882054398,0.014594054541237274,0.6782956626019426,0.005253115009878425,0.05739731010146022,0.013104363987613945,0.18764879847500546,0.056318108519054486
177,177,0.0004725060457627377,0.003492049270552549,0.0010518422680496104,0.0031112369707011443,0.004296452377532596,0.0004212467223545335,0.003818151169697001,0.002638090038989091,0.004515386418782325,0.002706390905010181,0.005159297300016946,0.0018230504102150968,0.0033932615665081076,0.004748029321476644,0.00467359109562983,0.002236619651017368,0.0032913125196640217,0.004409426039066121,0.005214583377544997,0.002374659414119135,0.006439939618001978
180,180,0.0006495324981484222,0.07498103614215601,0.044702248987642905,0.2072865596743037,0.14570351895721667,0.00588387288069335,0.15476148160498385,0.1234261940787688,0.10328035520716057,0.01805795719084708,0.2545943196612001,0.20657162009809854,0.12515844189229233,0.5286073720334218,0.0756562221659946,0.6741426581440616,0.0507552801886217,0.5413982498421742,0.15482722021999906,0.5216938965163107,0.041289007487200234
184,184,0.0006495349064270018,0.07498281558520725,0.044701581795775824,0.20728052634749228,0.14570138733439594,0.0058838719643378974,0.15476638269316856,0.1234291953549467,0.1032797780608622,0.018058975819106957,0.25458036897411834,0.2065582189044244,0.12515730203221198,0.5286300749936742,0.07565821452427499,0.6741214876031738,0.050754468157207286,0.5414197436352398,0.15482800129406513,0.5216664910127796,0.04128746219109709
210,210,0.000558760115103107,0.16356306323234604,0.012583890717266405,0.23894887603990064,0.42369893109110623,0.00104678250163847,0.2064113162485992,0.07094214670561227,3.3706311738059638,0.03110975327692196,0.11878639558624328,0.1899351676956103,1.2188923039769421,0.1236394549467736,3.3777560897991536,0.47830778889356,0.10606306306139147,0.14901378073993365,1.1474861158239325,0.3796145971417821,0.011195689311651784
211,211,0.0006509753737828657,0.004461331093110792,0.0037322393430751603,0.02488077752374739,0.01882107682731841,0.0006520599252428957,0.01006567184119483,0.008594329263748866,0.004650661309789261,0.0031341589097670514,0.006274728956614286,0.009365086811486385,0.07250844899353533,0.00943670027676106,0.0028928144336798863,0.0016804414231339374,0.0028376835348535127,0.013748555925597029,0.0750536888134949,0.0012427240153880688,0.0012715388423037693
221,221,0.0005211310645004596,0.062352105929346965,0.019898908856546296,0.10672431286375944,0.10680411608878157,0.0010677461651118862,0.29051127230822144,0.02331736245906534,1.4421686260996092,0.05609583041865477,0.07639105772065026,0.09931518344788004,0.07491122178501029,0.05688485754600839,1.4374811218773642,0.012519324294369605,0.0628749457536344,0.043315059224843966,0.07936811166684649,0.2651339504179551,0.0015850223134363448
233,233,0.00046155454267634405,0.009853828246193585,0.013944476043498421,0.06204958196282215,0.042032860075046384,0.0008204497944093568,0.040372972788959176,0.015698996844295286,0.01547518765996143,0.015265993365733027,0.012819457346667971,0.002020905926670707,0.03147297988984715,0.012713428127817892,0.04927526357541366,0.06726381266219672,0.005708543696303668,0.02223024188889001,0.02420566820426592,0.022168868280559726,0.017755547081518403
261,261,0.0007529452129778505,0.0014988593172142544,0.026148873719742387,0.06356696834521762,0.05400099460583314,0.0007211255275337103,0.002338398039096786,0.21217789896975064,0.031124213732102723,0.0162326391609077,0.027056147743988426,0.15164316768145647,0.0065190019836063465,0.227218156811776,0.03229477518495387,0.026294537034677757,0.18476633879267035,0.011796531058544044,0.03832083082181377,0.03713895393358963,0.025443952289345324
269,269,0.0004638029490717583,0.023612313412263084,0.002488537317977332,0.02046797401650004,0.04607542766767389,0.0007442324126664322,0.10473118858085624,0.018181191631447977,0.03119975207923055,0.009252866103891495,0.012070443360254942,0.013101472098838341,0.007771887377557894,0.00574045711238383,0.024759294854109097,0.0064577784657474544,0.008591116267662057,0.02259015899106081,0.04564281638838494,0.1234268138325758,0.007115057315000661
271,271,0.00046155468617894855,0.009853852306974685,0.013944568670288428,0.062049939606065925,0.042033033999829335,0.000820455029068025,0.040373044068498384,0.015699080353022456,0.01547525156925519,0.015266025122632206,0.012819522880853548,0.0020209088371017747,0.0314730346600343,0.012713449685824864,0.049275340709518035,0.06726395347282545,0.005708557922190188,0.02223035002098708,0.024205705025339343,0.022169054855980436,0.01775557255302639
272,272,0.00035396590113622123,0.004462113766798932,0.0042996279477885025,0.025889598767367072,0.02398739739610984,0.0005992269915310684,0.008175249433727563,0.023085251101882576,0.05600068295910378,0.009308711852499598,0.007456634623262176,0.01042706390689273,0.0044762551759425845,0.005441636983257728,0.008016045730637323,0.014010642268910157,0.009676812559582179,0.01002948512800415,0.05257290328712872,0.006281823026923722,0.0059493226511075185
291,291,0.0006509751799803722,0.004461342940599344,0.0037322465448733056,0.024880836081057445,0.018821122861601917,0.0006520611891065418,0.010065662812093291,0.008594349035674059,0.004650661472202657,0.0031341664318416114,0.0062747431618083065,0.009365139063902793,0.07250889382012554,0.009436747928508337,0.0028928148132513114,0.0016804407003599322,0.0028376855925894865,0.013748641678097487,0.0750541625678238,0.0012427240924777106,0.0012715387714470102
311,311,0.0004153394516982967,0.002218138244083618,0.005850494477810699,0.024277580566086927,0.018387937292140926,0.0006179469475505875,0.003129358003323371,0.007093383247407447,0.04782662698447892,0.04512342732492718,0.03757992110274834,0.02366278183014889,0.016507713503472545,0.008777823149539161,0.035855638628494974,0.0056391375955154276,0.04884627305549093,0.011413063709391495,0.05320510163395655,0.011242637145573879,0.0022494183365197686
313,313,0.0005211310533416696,0.062352063004150214,0.019898904907689717,0.10672430628539664,0.10680412243859727,0.0010677466898706283,0.2905111897080397,0.023317365571857263,1.4421664207885698,0.0560958132093181,0.07639105554535415,0.09931517962232864,0.07491113391125859,0.05688481004190241,1.4374789239638774,0.012519314918140359,0.06287492586604551,0.04331500442855564,0.07936801375348443,0.2651338809715134,0.0015850220854258838
318,318,0.0005211310474217365,0.06235203279406281,0.019898903354547567,0.10672429180420304,0.1068040766422682,0.0010677461695411331,0.29051110951104003,0.023317362050609882,1.4421662843316732,0.056095797286905134,0.07639103351014973,0.09931514754394606,0.0749111639845334,0.05688480031216794,1.4374787856933617,0.012519313812152755,0.0628749054317883,0.04331497820322188,0.07936802897235833,0.265133806624526,0.0015850220846074874
323,323,0.0005211310501537132,0.06235206068509903,0.01989889960313458,0.10672428228123404,0.10680409151565988,0.0010677463322921468,0.29051118920948205,0.023317364010912736,1.4421663528524789,0.05609580600822566,0.07639103358989685,0.0993151533738402,0.07491117136783637,0.056884817054613214,1.437478852129627,0.012519317670309916,0.06287491690290622,0.043315008056146805,0.07936804474554485,0.2651338755786282,0.0015850221262840509
357,357,0.0004725060628441985,0.0034920514910720835,0.0010518426688217038,0.0031112387760294288,0.004296455340517453,0.0004212473081571706,0.0038181532388648883,0.002638091247693504,0.004515392399072696,0.0027063924043681962,0.0051593027720357575,0.0018230510864565605,0.003393261748259298,0.0047480321953299615,0.004673594886489402,0.0022366193490189713,0.0032913147329159797,0.004409431785442006,0.005214588744216949,0.002374660236041444,0.006439948410439657
360,360,0.00035396623529871025,0.0044611938743682545,0.004299362202028647,0.025886409267651258,0.023983582997554032,0.000599146551362969,0.008175623425662276,0.023081855341682063,0.055996584759800405,0.009309250539660635,0.007456986107835944,0.01042618194536812,0.0044763845177263175,0.005441354128230222,0.00801619923203995,0.014007654503090071,0.009676695723801223,0.010028177371674149,0.05256976870921522,0.006281201514393771,0.005948956748254922
412,412,0.0004615546698866629,0.009853849385007636,0.013944558637261502,0.062049900243236825,0.0420330122746602,0.0008204543317263407,0.04037303404626224,0.015699069804163746,0.015475241793954809,0.015266020514397028,0.012819515220139915,0.002020908485195248,0.031473027175226466,0.012713446641976149,0.049275331793624616,0.06726393456987828,0.005708555861390252,0.022230336512152157,0.024205700453246274,0.02216903177716412,0.01775556899244646
420,420,0.000725972495347924,0.003803577402406058,0.02735950031487536,0.06938909837489708,0.11399664749610035,0.001343664696827649,0.0067303647724340394,0.15793985761347742,0.06503242843572926,0.030014745922733305,0.024313450499763446,0.07824268006651773,0.00642984060760466,0.1756783526899455,0.02978435392123306,0.0442413184963034,0.1040965745962129,0.011469384621019315,0.03145727512176834,0.05949000047563365,0.0572183547134402
468,468,0.0005211310568227303,0.06235205868966968,0.01989890350472412,0.10672431120299836,0.106804102338704,0.0010677462760311344,0.29051132207253955,0.023317372234891387,1.4421666420508428,0.0560958038701733,0.07639104155468722,0.09931516191922472,0.07491121233040575,0.05688484412307886,1.4374791417030095,0.012519320082216128,0.06287491676114511,0.04331502074731496,0.07936808222504352,0.2651340050704414,0.0015850221612630886
470,470,0.0006228722964991925,0.017001278060258168,0.05523470125245463,0.15983886986932105,0.053587775442061183,0.0012269142833403696,0.011026472256301122,3.3403135545734464,0.03997390014223205,0.016399133542628643,0.009094980965552026,0.003429150261286788,0.03347052325660527,3.388910932927434,0.024072941717551363,6.943203381707442,0.024159591937219088,0.00719339449935115,0.03672303808104523,0.08449503840402119,6.948278182882056
476,476,0.0003539659756321232,0.004460865467139588,0.0042992316546480985,0.02588497240685149,0.02398184100104716,0.0005991215063519582,0.008175861130917195,0.023079789963688757,0.055973736657578654,0.009308704894840135,0.0074565543255162734,0.010425536447224906,0.004476288543402817,0.0054410648697792476,0.008015993896627925,0.014006524553215494,0.009675984680168764,0.010026873264651664,0.05254869698759712,0.00628105128956535,0.005948776915652901
477,477,0.0003539656836413031,0.004462686560336598,0.004299747896602457,0.025891141115934862,0.023989694657545302,0.0005992597953079206,0.008174644520348133,0.023088221750236157,0.05602955914436585,0.009309575456456972,0.007457304301685575,0.010428002101430628,0.004476389986005178,0.005442051406799621,0.008016144054860064,0.01401270387520196,0.009677881351365271,0.010031329290115666,0.05259965624416806,0.006281859202747113,0.005949622298851332
478,478,0.0007259781518605227,0.0038026647926197063,0.027353266343577938,0.06939227072871684,0.11396566508792785,0.001343391975848475,0.0067277272475075155,0.15791345247067665,0.06501247731710505,0.030004979717040893,0.0243161193192681,0.07827681430324149,0.006430158314829263,0.17565264697550587,0.029790599932512013,0.04423081223974387,0.104137676531041,0.011470231235449685,0.031464650097229326,0.05947269934706083,0.057203083290663724
487,487,0.0006228736503331063,0.017001090637109004,0.055235791397979433,0.15984173986563405,0.05358801108514396,0.0012269038223565994,0.011026423103899372,3.3404591790952574,0.0399771341138736,0.016397963024116113,0.00909484022913063,0.0034290877276278967,0.03347168694732007,3.3890543299490297,0.024073402126279567,6.943371285357343,0.02415910614211469,0.0071932270676626844,0.03672052719782009,0.08449280320238642,6.948446243682232
511,511,0.0007830591157597563,0.010671856840092215,0.015967345950689542,0.10060780380024073,0.09434773341582077,0.002926401700659487,0.8361397661485956,0.04035104029211031,0.02596079437628021,0.0036799286263189093,0.0026566835598628115,0.001800121564107336,0.010614745480729907,0.07287263232253087,0.014593082512375078,0.6786337161224875,0.005252951983762579,0.0573960558546336,0.013105807158522085,0.18766185484725173,0.056327997540304
526,526,0.0006509754192050563,0.004461347433676818,0.003732246886320566,0.02488083917849424,0.018821130709762213,0.0006520620831926483,0.010065675106416002,0.008594359721460472,0.0046506675163683325,0.003134167755065845,0.006274744511743468,0.009365138289281115,0.07250892950592082,0.00943675070273384,0.002892816411817299,0.0016804389825662688,0.002837685610967244,0.01374864727417492,0.07505418781029936,0.001242724145246315,0.0012715388153468727
538,538,0.0006509724180227163,0.004461319416930333,0.003732232966482168,0.024880739547602882,0.018821010831256896,0.0006520536014582273,0.010065536843379777,0.00859425429848053,0.004650603872949382,0.003134166014528955,0.006274746104047078,0.00936520699709883,0.07250912301303038,0.009436791821028136,0.0028928040099705037,0.0016804581792524995,0.002837686190020347,0.013748676794605088,0.07505447986887429,0.0012427237796316351,0.0012715382502608485
548,548,0.0004959764470112153,0.01798664779140053,0.016638913056258312,0.08906647902150967,0.1360069596364718,0.0024721996508599024,0.02944811298378039,0.13618303347617935,0.13061140297511692,0.14957887657232707,0.009818381341058365,0.011687110386625652,0.08555019784868166,0.017583584471086624,0.10060982740392406,0.04279796002633685,0.14735040579694025,0.1308026291823709,0.08421917524367924,0.0488740669495627,0.00848086621088749
571,571,0.000650973293275684,0.004461421228483071,0.0037322974548221572,0.024881246109194916,0.018821443021601537,0.0006520689659015626,0.010065647384541987,0.008594467050770563,0.004650663165496606,0.003134215120504085,0.006274847881372286,0.009365490417090776,0.0725115441451552,0.009437052819293058,0.0028928187043362227,0.0016804457711387653,0.002837697787710777,0.013749166882311415,0.0750569995036924,0.001242723603511272,0.0012715379046444194
575,575,0.00035396618045515683,0.004459980943862752,0.0042990080823862055,0.025881987889682732,0.023978029367974003,0.0005990512695111575,0.008176339749707301,0.023075768395113043,0.05595470447682087,0.009308567393968882,0.007456408336605042,0.010424485014566307,0.004476313724940447,0.005440648884580692,0.008016033636489204,0.014003604219006337,0.009675315408077258,0.01002485480149552,0.0525312842446154,0.006280616079672595,0.005948391581314634
