,fit_index,sig_offset,dNu1 (GHz),dNu2 (GHz),A_U (GHz),B_U (GHz),A_L (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,RMSE
99,8745.0,0.012212891040578391,1.6190813452411663,0.3456202261393089,0.30978406316627927,-0.3166100292116326,0.07406309223843147,-0.4619372047251766,0.03798612743895023,0.7470710585158744,0.1664875146859616,0.1212543059958764,0.2718125434629131,0.1985668779481885,0.08874675791934697,0.5793930306472864,0.7609028473834846,0.4616898350992703,0.27271430294921656,0.22422934705637806,0.3724037773530484,0.26787247891911703,0.42123862306613785,0.10796074574739133,0.0061812066886124326
100,8904.0,0.012212904051460437,1.6190858382827806,0.34561938198526004,0.3097841442587388,-0.3166236032450774,0.07406295101614671,-0.4619606692599045,0.037986857975098834,0.7470698635757745,0.16645928526358364,0.121164150430434,0.2718140338158425,0.19857062401405398,0.08874210671338878,0.5793934734132395,0.7609046079355686,0.4616878240562482,0.2726978034714362,0.22422201476685336,0.3724140199562374,0.2679528895148778,0.4212372482325397,0.10796525438222722,0.0061812066876321325
101,8922.0,0.012212894048966498,1.6190802748282247,0.345613728580791,0.30978345165931964,-0.31658090888080115,0.07406310104067212,-0.4619225000409948,0.03798625661241795,0.7470790350676811,0.16648960694502218,0.1212184393106422,0.2718036266181723,0.19855927060801687,0.08875855815243716,0.5793890780550526,0.7608984993762016,0.4616825272352372,0.27271373963808826,0.22423473182941825,0.3724027343739446,0.26790541216256675,0.42124344008820536,0.10795669900578382,0.006181206690953585
102,9086.0,0.012212908441550688,1.619081888405565,0.345618701052746,0.30978384266638,-0.31660726321283195,0.07406300178796055,-0.4619396083621128,0.03798626431588839,0.7470720465136762,0.16648198462691666,0.1212250767135288,0.2718109858475575,0.1985658753435249,0.08874870640374571,0.5793926000500256,0.7609019707298915,0.4616879214081498,0.272711141233137,0.22422932722510205,0.3724059399160358,0.26789919226688924,0.4212404243214189,0.10796150672951133,0.0061812066845545535
103,9097.0,0.012204132396457429,1.6594288557815968,0.25728779136513524,0.3242598708827098,0.24342014022884506,0.0853778737448285,-0.08161410620939284,0.04709737595096438,0.9004010545091389,0.26430300885406843,2.1295233418206782e-14,0.1692174033376001,2.3661552888653753e-15,0.22842255788680785,0.4631745002311178,0.7362598949783602,0.22681877009209045,0.13858226456777215,0.2985260363095477,0.3311407756567123,0.4509971359403886,0.3386404912504685,1.1889178182142607e-15,0.006804040459276972
104,9287.0,0.012212860444253529,1.6190817897343013,0.34561875091320693,0.3097840523299734,-0.316603184012839,0.07406313271930898,-0.4619340818232007,0.03798626499295042,0.7470741471948871,0.16648744011929872,0.1212334188465755,0.2718110256481665,0.19856524301828754,0.08874871859209567,0.5793922651760632,0.7609017594271955,0.4616864944829056,0.272711788971468,0.22422951607338829,0.3724030487099753,0.26789256983693965,0.4212385545461828,0.10795928881501934,0.006181206686268928
105,9348.0,0.012226824810246471,1.6277691817024278,0.3438264830628929,0.3108638381572146,-0.35156197964370484,0.07449214932554726,-0.5164095347588721,0.0388538484755285,0.7401778566470155,0.09699826128056058,0.3669189465128427,0.267349521165219,0.20420353018099016,0.08148429271300835,0.5776330579454291,0.7752178457485045,0.4806212450823689,0.24856811378353735,0.22059780931710493,0.4095903687432775,2.223879101038696e-11,0.4195937747604576,0.11636322833258955,0.006220434036180522
106,9414.0,0.01221284980374988,1.6190871662349362,0.3456205566993616,0.30978456225317164,-0.31663159643747696,0.07406309543961406,-0.4619672113666343,0.03798699336550599,0.7470685342290158,0.1664534555420707,0.12117125076827626,0.2718148596216812,0.1985720500825796,0.08873890361978748,0.5793936917623084,0.7609073213434263,0.461690733461869,0.27269488596797165,0.22422078773324852,0.3724164630046067,0.26794423838774845,0.4212340803082461,0.1079656287795808,0.0061812066914288845
107,9471.0,0.012204342768823552,1.6594269516196405,0.25728780394359885,0.3242581385455863,0.2434234538883665,0.08537678002909192,-0.08161139738628279,0.04709689288403515,0.9004027501654285,0.26430767077095496,1.8305921130566144e-16,0.16923374877237155,3.1054715726295085e-17,0.2284274875104471,0.4631699098280178,0.7362484002252975,0.2267999108754646,0.13858724433918587,0.2985147857079549,0.33114598986339866,0.4510103119167043,0.3386565396840737,2.1033755342840463e-14,0.006804040459662653
108,9606.0,0.012226829987534145,1.6277686299844834,0.3438260989785814,0.3108637675700066,-0.3515595834296282,0.07449215812129395,-0.5164074011191216,0.03885379289252586,0.7401775874539481,0.0970001865799916,0.3669191009533001,0.2673484756543449,0.20420279518471332,0.08148552321754493,0.5776328589888177,0.7752175755272165,0.4806215038476454,0.24856997498952466,0.2205990416485739,0.4095895395145122,5.147131548426854e-13,0.4195943389707161,0.11636286285143956,0.006220434037658067
109,9638.0,0.012226796760231057,1.6277710290876113,0.34382659559945106,0.3108640161470015,-0.3515656572571713,0.07449214828363687,-0.5164152205430489,0.03885411296765793,0.7401799704792594,0.0969900351013468,0.3669171430780699,0.26735085191499625,0.20420472576908824,0.0814819579006959,0.5776326743811598,0.7752185560573682,0.4806196362201026,0.24856114435868704,0.2205948136550394,0.4095940000214274,5.5034692658888975e-09,0.4195919463950912,0.11636371484612527,0.006220434034036006
110,9773.0,0.012226761543371044,1.6277747822780952,0.3438291336027113,0.3108644905850556,-0.3515817479546165,0.07449208915914565,-0.5164297258811577,0.03885449718857463,0.7401818372773931,0.09697672922322044,0.3669159920067031,0.2673578431612034,0.2042096625092908,0.08147369040811682,0.5776339788103679,0.7752203900261191,0.4806178224076472,0.2485484334203793,0.2205864806549897,0.4095997327545409,2.520824125762532e-10,0.4195881146617272,0.11636617640935255,0.006220434029084108
111,9775.0,0.01222682951112537,1.6277686519928058,0.34382609004807985,0.31086376940465393,-0.35155958530978737,0.07449215849677565,-0.5164074510124189,0.038853796651031114,0.7401776251668801,0.09700007931035487,0.366919069996616,0.26734847257002264,0.20420279792035453,0.08148551126181612,0.5776328448182354,0.7752175822222147,0.4806214783701368,0.2485698865224889,0.22059901619072705,0.4095895874152933,9.040275573622029e-12,0.4195943172280425,0.11636286038763845,0.006220434037635813
